titulo,link,site_origem,data_coleta
Serpa Leilões,https://www.serpaleiloes.com.br/,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
Leilão,https://www.serpaleiloes.com.br/?tipo=leilao,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
COD.183 / 36/202524 lotesAberto para lancesPREFEITURA MUNICIPAL DE MARACAJÁ/SCOnline e PresencialLeilãoAbertura30/07/2025 10:00Fechamento20/08/2025 10:00ResetAbertura30/07/2025 10:00Fechamento20/08/2025 10:00,https://www.serpaleiloes.com.br/eventos/leilao/183/prefeitura-municipal-de-maracaja-sc,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
COD.188 / 41/202512 lotesAberto para lancesPREFEITURA MUNICIPAL DE IPIRA /SCSomente onlineLeilãoAbertura07/08/2025 16:00Fechamento27/08/2025 10:00ResetAbertura07/08/2025 16:00Fechamento27/08/2025 10:00,https://www.serpaleiloes.com.br/eventos/leilao/188/prefeitura-municipal-de-ipira-sc,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
"COD.156 / 9/2025Aberto para lancesIMÓVEL ÁREA 570,00 M², COM UMA CASA, JOINVILLE/SC (DESOCUPADO)Somente online1º LeilãoAbertura25/08/2025 10:00Fechamento02/09/2025 10:002º LeilãoAbertura02/09/2025 11:00Fechamento09/09/2025 10:00",https://www.serpaleiloes.com.br/eventos/leilao/156/imovel-area-570-00-m-com-uma-casa-joinville-sc-desocupado/lote,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
"COD.185 / 38/2025Aberto para lancesINFORMÁTICA, CADEIRAS, MESA, ARQUIVOSSomente online1º LeilãoAbertura20/08/2025 14:00Fechamento02/09/2025 14:002º LeilãoAbertura02/09/2025 15:00Fechamento09/09/2025 14:00",https://www.serpaleiloes.com.br/eventos/leilao/185/informatica-cadeiras-mesa-arquivos/lote,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
"COD.184 / 37/2025Aberto para lancesGALPÃO ÁREA 382,31m² E UM ESCRITÓRIO ÁREA 27,00m² (não averbado), RUA RIO DO CAMPO, Nº 525, BAIRRO COMASA, JOINVILLE/SCSomente onlineLeilãoAbertura23/09/2025 10:00Fechamento30/09/2025 10:00ResetAbertura23/09/2025 10:00Fechamento30/09/2025 10:00",https://www.serpaleiloes.com.br/eventos/leilao/184/galpao-area-382-31m-e-um-escritorio-area-27-00m-nao-averbado-rua-rio-do-campo-n%C2%BA-525-bairro-comasa-joinville-sc/lote,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
"COD.186 / 39/2025Aberto para lancesCasa aproximadamente 70,00 m², Bairro Fátima Joinville/SCSomente online1º LeilãoAbertura30/09/2025 09:00Fechamento07/10/2025 09:002º LeilãoAbertura07/10/2025 10:00Fechamento14/10/2025 09:00",https://www.serpaleiloes.com.br/eventos/leilao/186/casa-aproximadamente-70-00-m-bairro-fatima-joinville-sc/lote,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
"COD.187 / 40/2025Aberto para lancesGM/S10 2.5 S 4X4, COR BRANCA, 1999/1999.Somente online1º LeilãoAbertura30/09/2025 10:00Fechamento07/10/2025 10:002º LeilãoAbertura07/10/2025 11:00Fechamento14/10/2025 10:00",https://www.serpaleiloes.com.br/eventos/leilao/187/gm-s10-2-5-s-4x4-cor-branca-1999-1999/lote,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
Suporte Leilões,https://www.suporteleiloes.com.br,https://www.serpaleiloes.com.br/?tipo=leilao,2025-08-07 20:48
